BX = 000 Event : 1
32 0 0111011|010|101|010 0x76aa
33 0 1001111|001|110|101 0x9e75
35 0 0001011|100|011|001 0x1719
35 1 0001110|101|100|010 0x1d62
35 2 0010000|100|000|111 0x2107
36 0 0010001|000|100|001 0x2221
36 1 0011000|001|011|011 0x305b
36 2 0011001|101|011|011 0x335b
36 3 0011010|101|010|100 0x3554
36 4 0011100|100|010|110 0x3916
36 5 0011101|101|100|110 0x3b66
37 0 0011111|001|010|001 0x3e51
38 0 0101011|100|100|001 0x5721
3a 0 1000011|010|001|110 0x868e
3a 1 1000101|000|010|111 0x8a17
3b 0 1000111|001|010|000 0x8e50
3b 1 1001110|101|100|101 0x9d65
3b 2 1010001|100|010|111 0xa317
3d 0 0001101|101|011|001 0x1b59
BX = 001 Event : 2
0 0 0100010|000|000|010 0x4402
2 0 0110110|010|110|100 0x6cb4
2 1 0111010|010|100|101 0x74a5
2 2 0111011|001|100|101 0x7665
3 0 0000000|001|001|010 0x004a
3 1 0000001|000|000|010 0x0202
3 2 0000011|100|101|100 0x072c
4 0 0000110|000|111|100 0x0c3c
4 1 0000111|110|001|111 0x0f8f
6 0 0010010|011|000|111 0x24c7
6 1 0010100|001|000|111 0x2847
7 0 0010101|010|001|000 0x2a88
7 1 0010110|110|001|001 0x2d89
7 2 0011001|101|110|101 0x3375
7 3 0011100|101|101|111 0x396f
7 4 0011101|101|100|111 0x3b67
7 5 0011110|101|101|111 0x3d6f
7 6 0100000|000|110|111 0x4037
8 0 0101000|001|110|100 0x5074
b 0 0000100|010|111|110 0x08be
b 1 1000001|110|011|000 0x8398
e 0 0010001|101|010|111 0x2357
e 1 0010011|110|000|111 0x2787
f 0 0011111|010|100|111 0x3ea7
10 0 0100111|100|001|010 0x4f0a
11 0 0110001|101|101|101 0x636d
12 0 0110101|110|001|100 0x6b8c
12 1 0111100|000|010|110 0x7816
13 0 0111111|110|100|000 0x7fa0
13 1 1000011|110|101|001 0x87a9
16 0 0001101|110|101|001 0x1ba9
16 1 0001111|100|101|001 0x1f29
17 0 0011000|100|011|010 0x311a
18 0 0101101|100|100|110 0x5b26
19 0 0101111|110|110|000 0x5fb0
19 1 0110010|000|111|110 0x643e
1a 0 0111001|101|001|101 0x734d
1b 0 0000010|010|010|011 0x0493
1b 1 1000110|100|011|010 0x8d1a
1b 2 1000111|000|000|010 0x8e02
