BX = 000 Event : 1
0x09 0011100|001001110010|01011010011100|101|0001111|01011011 0x1c2725a728f5b
0x0a 1100010|001010010100|01010001010100|010|0010000|01010010 0x6229451511052
0x0b 1100000|001010010101|01010100111111|100|0010001|01010100 0x6029554fe1154
0x0c 0000011|001011111000|01011111101100|100|0010010|01011111 0x032f85fb2125f
0x0d 0001111|010000010010|01010111000001|101|0010011|01010111 0x0f41257069357
0x0e 1100110|010000011110|01011000100010|001|0010100|01011001 0x6641e58889459
0x0f 1011111|010000100000|01011000100000|000|0010101|01011000 0x5f42058801558
0x10 1011101|010000100001|01011000101001|001|0010110|01011010 0x5d42158a4965a
0x11 0100011|010011000111|01011010100010|001|0010111|01011001 0x234c75a889759
0x12 1110011|010110110011|01011111100111|101|0011011|01011111 0x735b35f9e9b5f
0x13 0011011|011111011110|01011001010100|100|0011100|01011001 0x1b7de59521c59
0x14 1011111|100000010001|01011100001000|100|0011111|01011011 0x5f8115c221f5b
0x15 1011101|100101000000|01011011110110|100|0100010|01011010 0x5d9405bda225a
0x16 1100110|100101000011|01010011001000|100|0100011|01010010 0x6694353222352
0x17 0100011|100101010100|01011001000010|000|0100100|01011000 0x2395459082458
0x18 1100010|101001001000|01011000010111|001|0100101|01011001 0x62a48585ca559
0x19 0000001|101001010001|01010010011110|100|0101000|01010010 0x01a51527a2852
0x1a 1111000|101100101100|01011101000000|000|0101010|01011101 0x78b2c5d002a5d
0x1b 1100110|110001101010|01011001101110|110|0101101|01010111 0x66c6a59bb2d57
0x1c 0001110|111000111101|01010100100100|010|0111000|01010100 0x0ee3d54913854
0x1d 0000000|111010000110|01011111100011|001|0111010|01011111 0x00e865f8cba5f
BX = 010 Event : 3
0x00 1010100|111101011001|01010111101111|010|0000001|01011010 0x54f5957bd015a
0x01 1010100|111101011110|01011100011000|101|0000010|01011010 0x54f5e5c62825a
0x02 1010100|111110001110|01010101100101|000|0000011|01010101 0x54f8e55940355
0x03 1001100|111110010000|01010101110111|100|0000100|01010100 0x4cf9055de0454
0x04 1001100|000001010000|01010011000101|100|0001000|01010001 0x4c05053160851
0x05 1001100|000001101110|01010010111110|101|0001001|01010000 0x4c06e52fa8950
0x06 1010100|000010000110|01100000000111|100|0001010|01011111 0x54086601e0a5f
0x07 1010100|000010001110|01100000010010|101|0001011|01011110 0x5408e604a8b5e
0x08 1001100|000011111011|01010011101010|010|0001110|01010111 0x4c0fb53a90e57
0x09 0100010|000100001101|01010011100110|101|0001111|01010101 0x2210d539a8f55
